title,link,price,rating,Number of Reviews
"Lenovo Idea Tab, 11 INCH, 2.5K, POLAR BLUE, MediaTek Dimensity 6300 OC, 8GB Ram, 256GB Storage, with Call Feature, 5G, 7040 mAh Battery, Keyboard Case and Pen, TB336ZU, ZAFM0356SA ",https://www.amazon.sa//-/en/Lenovo-MediaTek-Dimensity-TB336ZU-ZAFM0356SA/dp/B0FLVW3ZVP,,2.1,(3)
XPPen 3 in 1 Color Digital Notebook 10.95'' Paper Note Taking Tablet with 16384 Pressure Levels Battey-Free X3 Pro Pencil 2 Magnetic Folio 6+128GB Magic Note Pad for Writing/Reading/Meeting/Study ,https://www.amazon.sa//-/en/XPPen-Notebook-Pressure-Battey-Free-Magnetic/dp/B0DX234NWP,,2.1,(3)
"XIAOMI Pad 7, 11-inch Tablet, Wi-FI, 256 GB, 8 GB RAM, Grey ",https://www.amazon.sa//-/en/XIAOMI-Pad-11-inch-Tablet-Wi-FI/dp/B0DZ144ZMX,,2.1,(3)
"XIAOMI Redmi Pad 2 Pro, 8 + 256 GB, 12.1"" 2.5K 120 Hz, giant 12,000 mAh battery (typical), 4 nm processor, continuous connectivity, graphite grey, WiFi ",https://www.amazon.sa//-/en/battery-processor-continuous-connectivity-graphite/dp/B0FY1YG466,,2.1,(3)
"REDMAGIC Astra Gaming Tablet, 12GB RAM+256GB ROM, Snapdragon 8 Elite, 2.4K, OLED, 9.06'', Eclipse ",https://www.amazon.sa//-/en/REDMAGIC-Gaming-Tablet-Snapdragon-Eclipse/dp/B0F8QH1KTX,,2.1,(3)
"HUAWEI MatePad SE 11 4GB+128GB Kid Tablet, M-Pen lite, FullView Display，Large Capacity Battery，Kids Corner, 1-Year Amazon Exclusive Huawei Care+ ",https://www.amazon.sa//-/en/HUAWEI-FullView-Display%EF%BC%8CLarge-Battery%EF%BC%8CKids-Exclusive/dp/B0G9T81DGC,,2.1,(3)
"TCL TAB11 FE Ares-11 4GB RAM 128GB ROM 6000mAh 11-Inch FHD Android 14 Tablet with Flip Case, Grey ",https://www.amazon.sa//-/en/TCL-Ares-11-6000mAh-11-Inch-Android/dp/B0FQ5VM7V8,,2.1,(3)
"Microsoft Surface Pro 7 12.3 Inch Tablet (Platinum) - Intel 10th Generation Quad Core i5, 8GB RAM, 128GB SSD, Windows 10 Home, 2019 Edition ",https://www.amazon.sa//-/en/Microsoft-Surface-12-3-Tablet-Platinum/dp/B07Y5M67K7,,2.1,(3)
"CHUWI Hi10 Max 12.96"" 3K IPS Touch Screen, Intel N150 Processor, 12GB DDR5, 512GB SSD, 3-in-1 Windows 11 Tablet PC, WiFi 6, Detachable Keyboard Tablet ",https://www.amazon.sa//-/en/CHUWI-Processor-Windows-Detachable-Keyboard/dp/B0GH6NTZPZ,,2.1,(3)
"Samsung Galaxy Tab A11 8.7"" 64GB/4GB Wi-Fi Prateado ",https://www.amazon.sa//-/en/Samsung-Galaxy-64GB-Wi-Fi-Prateado/dp/B0FWSD2KK3,,2.1,(3)
